measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091732.csv	p1	0.47892	0	102.821	830	0
BD18_1510091732.csv	p2	1.13948	96.596	62.3691	1965	194
BD18_1510091732.csv	p3	1.01086	96.596	41.3423	1744	194
BD18_1510091732.csv	p6	0.45273	4.478	201.808	785	9
BD18_1510091732.csv	p8	0.9771	96.596	56.6057	1686	194
BD18_1510091732.csv	p9	0.58659	2.98	46.3667	1015	6
BD18_1510091732.csv	p11	0.99281	96.596	48.0021	1713	194
BD18_1510091732.csv	p12	0.54759	7.41	476.459	948	15
BD18_1510091732.csv	p13	1.00445	96.596	42.9886	1733	194
BD18_1510091732.csv	p14	1.04228	97.111	31.2938	1798	195
BD18_1510091732.csv	p16	0.68552	31.325	41.7132	1185	63
BD18_1510091732.csv	p17	0.49696	6.428	235.746	861	13
BD18_1510091732.csv	p18	0.96139	98.608	52.5833	1659	198
BD18_1510091732.csv	p20	0.94393	98.608	58.1197	1629	198
BD18_1510091732.csv	p22	0.94044	96.596	59.6881	1623	194
BD18_1510091732.csv	p23	0.95324	97.111	54.952	1645	195
BD18_1510091732.csv	p25	1.03181	97.641	34.0084	1780	196
BD18_1510091732.csv	p26	1.02657	97.111	36.6119	1771	195
BD18_1510091732.csv	p28	1.03763	98.093	32.6476	1790	197
BD18_1510091732.csv	p29	0.64304	28.439	442.632	1112	57
BD18_1510091732.csv	p30	0.92356	101.525	116.821	1594	204
BD18_1510091732.csv	p33	0.88747	117.484	51.0662	1532	236
BD18_1510091732.csv	p35	0.84557	29.406	500.637	1460	59
BD18_1510091732.csv	p36	0.60521	104.068	92.6098	1047	209
